Field,Value
phone.lines.line.callInfoDisplay.dialedNumber,true
phone.lines.line.recordingFlag,Call Recording Disabled
phone.lines.line.audibleMwi,Default
phone.lines.line.partitionUsage,General
phone.lines.line.associatedEndusers.enduser.userId,Angela.Billet
phone.lines.line.missedCallLogging,true
phone.lines.line.recordingMediaSource,Gateway Preferred
phone.numberOfButtons,8
phone.phoneTemplateName@uuid,{CFD9C6FB-B9FA-4A2B-935C-FC5E8A859F5D}
phone.phoneTemplateName,Standard Dual Mode for iPhone
phone.ringSettingIdleBlfAudibleAlert,Default
phone.ringSettingBusyBlfAudibleAlert,Default
phone.softkeyTemplateName@uuid,{72F64050-7AD5-4B47-9BFA-5E9AD9CD4AA9}
phone.softkeyTemplateName,Standard User
phone.enableExtensionMobility,false
phone.currentConfig.phoneTemplateName@uuid,{CFD9C6FB-B9FA-4A2B-935C-FC5E8A859F5D}
phone.currentConfig.phoneTemplateName,Standard Dual Mode for iPhone
phone.currentConfig.mlppIndicationStatus,Off
phone.currentConfig.preemption,Disabled
phone.currentConfig.softkeyTemplateName@uuid,{72F64050-7AD5-4B47-9BFA-5E9AD9CD4AA9}
phone.currentConfig.softkeyTemplateName,Standard User
phone.currentConfig.ignorePresentationIndicators,false
phone.currentConfig.singleButtonBarge,Off
phone.currentConfig.joinAcrossLines,Off
phone.currentConfig.callInfoPrivacyStatus,Default
phone.currentConfig.dndRingSetting,Disable
phone.currentConfig.dndOption,Call Reject
phone.currentConfig.alwaysUsePrimeLine,Default
phone.currentConfig.alwaysUsePrimeLineForVoiceMessage,Default
phone.singleButtonBarge,Off
phone.joinAcrossLines,Off
phone.builtInBridgeStatus,Default
phone.callInfoPrivacyStatus,Default
phone.hlogStatus,On
phone.ownerUserName@uuid,d57d6833-b0d2-94a5-ddda-59c3b73e87d1
phone.ownerUserName,Angela.Billet
phone.ignorePresentationIndicators,false
phone.packetCaptureMode,None
phone.packetCaptureDuration,0
phone.subscribeCallingSearchSpaceName@uuid,{A87C083B-260C-2D24-FE1D-8D23C6B66DB5}
phone.subscribeCallingSearchSpaceName,Route_Internal_CSS
phone.rerouteCallingSearchSpaceName@uuid,{A87C083B-260C-2D24-FE1D-8D23C6B66DB5}
phone.rerouteCallingSearchSpaceName,Route_Internal_CSS
phone.allowCtiControlFlag,true
phone.presenceGroupName@uuid,{AD243D17-98B4-4118-8FEB-5FF2E1B781AC}
phone.presenceGroupName,Standard Presence group
phone.unattendedPort,false
phone.requireDtmfReception,false
phone.rfc2833Disabled,false
phone.certificateOperation,No Pending Operation
phone.certificateStatus,None
phone.deviceMobilityMode,Default
phone.remoteDevice,false
phone.dndOption,Call Reject
phone.dndRingSetting,Disable
phone.dndStatus,false
phone.isActive,true
phone.isDualMode,true
phone.phoneSuite,Default
phone.phoneServiceDisplay,Default
phone.isProtected,false
phone.mtpRequired,false
phone.mtpPreferedCodec,711ulaw
phone.outboundCallRollover,No Rollover
phone.hotlineDevice,false
phone.alwaysUsePrimeLine,Default
phone.alwaysUsePrimeLineForVoiceMessage,Default
phone.deviceTrustMode,Not Trusted
phone.AllowPresentationSharingUsingBfcp,false
phone.confidentialAccess.confidentialAccessLevel,-1
phone.allowiXApplicableMedia,false
phone.useDevicePoolCgpnIngressDN,true
phone.enableCallRoutingToRdWhenNoneIsActive,false
phone.enableActivationID,false
phone.allowMraMode,false
